filename,label,ttr,hapax,adj_noun_ratio,tree_depth,fk_grade
marktwain_sketches_new_and_old_chunk_70.txt,human,0.5216572504708098,206,0.4095238095238095,5.269230769230769,8.725158730158729
marktwain_the_innocents_abroad_chunk_84.txt,human,0.50853889943074,198,0.2748091603053435,6.65,10.250509727626461
marktwain_the_innocents_abroad_chunk_90.txt,human,0.55893536121673,227,0.35454545454545455,6.346153846153846,9.569615384615389
hgwells_the_war_of_the_worlds_chunk_29.txt,human,0.5074906367041199,198,0.4672897196261682,6.56,8.86403773584906
marktwain_sketches_new_and_old_chunk_64.txt,human,0.49635036496350365,193,0.29896907216494845,10.5,23.137660550458715
marktwain_adventures_of_huckelberry_chunk_210.txt,human,0.5616438356164384,79,0.25925925925925924,4.8,6.13312945119397
marktwain_roughing_it_chunk_20.txt,human,0.5177865612648221,194,0.3804347826086957,6.0,6.201380928853755
marktwain_roughing_it_chunk_185.txt,human,0.5107632093933464,188,0.25555555555555554,6.761904761904762,10.262914285714285
marktwain_roughing_it_chunk_191.txt,human,0.5264150943396226,218,0.4444444444444444,7.4,16.10618181818182
marktwain_roughing_it_chunk_34.txt,human,0.547808764940239,209,0.32608695652173914,10.333333333333334,22.691066666666668
marktwain_sketches_new_and_old_chunk_58.txt,human,0.4805447470817121,180,0.30097087378640774,8.0,15.638104046242777
hgwells_the_war_of_the_worlds_chunk_15.txt,human,0.5518590998043053,225,0.22321428571428573,5.733333333333333,7.490044994375705
marktwain_adventures_of_huckelberry_chunk_204.txt,human,0.417910447761194,147,0.2857142857142857,7.6,21.677392923649908
marktwain_the_innocents_abroad_chunk_47.txt,human,0.5310734463276836,207,0.2923076923076923,6.4,8.79772536511667
marktwain_the_innocents_abroad_chunk_53.txt,human,0.5076923076923077,198,0.3883495145631068,5.777777777777778,8.214930555555558
marktwain_the_innocents_abroad_chunk_218.txt,human,0.5086042065009561,189,0.3274336283185841,7.0,9.68048570814528
hgwells_the_invisible_man_chunk_35.txt,human,0.5451127819548872,226,0.3888888888888889,6.791666666666667,10.342658646616545
marktwain_roughing_it_chunk_146.txt,human,0.5144508670520231,182,0.2621359223300971,4.951219512195122,4.398461899729952
marktwain_the_innocents_abroad_chunk_230.txt,human,0.5342066957787481,297,0.3931034482758621,6.869565217391305,14.589969875485341
marktwain_roughing_it_chunk_8.txt,human,0.5256166982922201,196,0.45054945054945056,6.416666666666667,9.348745098039217
marktwain_the_innocents_abroad_chunk_224.txt,human,0.516504854368932,190,0.4943820224719101,6.523809523809524,10.739870895312944
marktwain_roughing_it_chunk_152.txt,human,0.5119047619047619,192,0.32222222222222224,7.285714285714286,13.393367793240554
marktwain_a_tramp_abroad_chunk_9.txt,human,0.38146167557932265,132,0.3516483516483517,6.6,10.439567230463954
hgwells_the_invisible_man_chunk_21.txt,human,0.5393474088291746,210,0.2524271844660194,5.025,5.714355992844364
marktwain_adventures_of_huckelberry_chunk_20.txt,human,0.394990366088632,124,0.3111111111111111,5.5,6.202414229249012
marktwain_eve's_diary_chunk_219.txt,human,0.5402750491159135,207,0.3644859813084112,6.5,9.462228043912177
marktwain_a_tramp_abroad_chunk_145.txt,human,0.48794063079777367,184,0.5526315789473685,4.967741935483871,5.805469215170213
marktwain_a_tramp_abroad_chunk_151.txt,human,0.4883720930232558,213,0.43137254901960786,5.827586206896552,8.175114093959735
marktwain_adventures_of_huckelberry_chunk_34.txt,human,0.4444444444444444,148,0.19230769230769232,5.241379310344827,4.399615384615384
marktwain_eve's_diary_chunk_225.txt,human,0.5178236397748592,211,0.48672566371681414,8.470588235294118,13.198879551820728
marktwain_a_tramp_abroad_chunk_179.txt,human,0.49868766404199477,257,0.2815533980582524,4.214285714285714,8.849914584904823
marktwain_eve's_diary_chunk_231.txt,human,0.4601941747572815,156,0.4523809523809524,5.518518518518518,7.766902946954815
marktwain_a_tramp_abroad_chunk_186.txt,human,0.48330058939096265,167,0.21052631578947367,8.357142857142858,13.229153081510933
marktwain_sketches_new_and_old_chunk_164.txt,human,0.49506903353057197,173,0.21428571428571427,7.25,8.66010188261351
marktwain_life_on_the_mississippi_chunk_111.txt,human,0.4484732824427481,158,0.2558139534883721,5.625,5.320323785803236
marktwain_life_on_the_mississippi_chunk_105.txt,human,0.4564796905222437,158,0.2608695652173913,5.620689655172414,6.205961685823755
marktwain_sketches_new_and_old_chunk_170.txt,human,0.5163776493256262,207,0.32323232323232326,8.785714285714286,14.206763209393348
marktwain_a_tramp_abroad_chunk_192.txt,human,0.5039525691699605,181,0.27102803738317754,6.0,8.190371756487025
marktwain_life_on_the_mississippi_chunk_5.txt,human,0.5047438330170778,207,0.28703703703703703,6.428571428571429,10.699230143670373
marktwain_sketches_new_and_old_chunk_158.txt,human,0.4980237154150198,180,0.2967032967032967,5.166666666666667,5.715818181818182
marktwain_life_on_the_mississippi_chunk_139.txt,human,0.49606299212598426,181,0.24545454545454545,6.0,8.499365079365077
hgwells_the_time_machine_chunk_63.txt,human,0.7681159420289855,44,0.8461538461538461,8.0,13.013333333333335
marktwain_the_innocents_abroad_chunk_185.txt,human,0.5057034220532319,196,0.4175824175824176,6.260869565217392,9.183484555984556
marktwain_adventures_of_huckelberry_chunk_166.txt,human,0.42128935532233885,188,0.3584905660377358,6.15,11.997070561456756
marktwain_adventures_of_huckelberry_chunk_172.txt,human,0.4423076923076923,145,0.17777777777777778,5.821428571428571,5.600949416342413
marktwain_the_innocents_abroad_chunk_191.txt,human,0.5330739299610895,201,0.46464646464646464,6.761904761904762,9.37771802943929
